time	stay	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax	7 pax	8 pax
00:00	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:05	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:10	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:15	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:20	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:25	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:30	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:35	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:40	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:45	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:50	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00:55	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:00	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:05	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:10	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:15	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:20	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:25	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:30	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:35	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01:40	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
